45678916;Esteban;29;3041345679;140
56789127;Verónica;34;3042456780;110
67891238;Mauricio;31;3043567891;130
78912349;Andrea;28;3044678912;120
89123460;Rodrigo;36;3045789123;100
91234571;Silvia;33;3046891234;150
12345683;Oscar;27;3047912345;90
23456795;Mónica;32;3048912346;170
34567896;Héctor;30;3049123457;80
45678917;Beatriz;35;3050234568;160
56789128;Álvaro;29;3051345679;140
67891239;Gloria;34;3052456780;110
78912350;Ramiro;31;3053567891;130
89123461;Cecilia;28;3054678912;120
91234572;Germán;36;3055789123;100
12345684;Rocío;33;3056891234;150
23456796;Hernán;27;3057912345;90
34567897;Elsa;32;3058912346;170
45678918;Nicolás;30;3059123457;80
56789129;Marina;35;3060234568;160
67891240;Julio;29;3061345679;140
78912351;Patricio;34;3062456780;110
89123462;Luz;31;3063567891;130
91234573;Efraín;28;3064678912;120
12345685;Susana;36;3065789123;100
23456797;Alfonso;33;3066891234;150
34567898;Inés;27;3067912345;90
45678919;Rubén;32;3068912346;170
56789130;Claudio;30;3069123457;80
67891241;Marta;35;3070234568;160
78912352;Edgar;29;3071345679;140
89123463;Aurelia;34;3072456780;110
91234574;Gustavo;31;3073567891;130
12345686;Olga;28;3074678912;120
23456798;Rafael;36;3075789123;100
34567899;Estela;33;3076891234;150
45678920;Joaquín;27;3077912345;90
56789131;Teresa;32;3078912346;170
67891242;Vicente;30;3079123457;80
78912353;Elisa;35;3080234568;160
89123464;Arturo;29;3081345679;140
91234575;Blanca;34;3082456780;110
12345687;Fabián;31;3083567891;130
23456799;Dolores;28;3084678912;120
34567900;Ignacio;36;3085789123;100
45678921;Alicia;33;3086891234;150
56789132;Hugo;27;3087912345;90
67891243;Rita;32;3088912346;170
78912354;César;30;3089123457;80
89123465;Lidia;35;3090234568;160
91234576;Emilio;29;3091345679;140
12345688;Nora;34;3092456780;110
23456800;Leandro;31;3093567891;130
34567901;Aurora;28;3094678912;120
45678922;Gonzalo;36;3095789123;100
56789133;Elvira;33;3096891234;150
67891244;Matías;27;3097912345;90
78912355;Adela;32;3098912346;170
89123466;Federico;30;3099123457;80
91234577;Rosa;35;3100234568;160
12345689;Eugenio;29;3101345679;140
23456801;Mercedes;34;3102456780;110
34567902;Alfredo;31;3103567891;130
45678923;Julia;28;3104678912;120
56789134;Ramón;36;3105789123;100
67891245;Carmen;33;3106891234;150
78912356;Pablo;27;3107912345;90
89123467;Isabel;32;3108912346;170
91234578;Salvador;30;3109123457;80
12345690;Antonia;35;3110234568;160
23456802;Ezequiel;29;3111345679;140
34567903;María;34;3112456780;110
45678924;Tomás;31;3113567891;130
56789135;Victoria;28;3114678912;120
67891246;Jorge;36;3115789123;100
78912357;Amalia;33;3116891234;150
89123468;Raúl;27;3117912345;90
91234579;Felisa;32;3118912346;170
11111111;Violeta;18;3000000001;1500
10000001;Agudelo;18;3000000002;146
12345678;Viana;18;3000000002;96
