12345678;Carlos;28;3001234567;150
87654321;María;34;3002345678;120
23456789;Juan;22;3003456789;90
98765432;Ana;29;3004567890;180
34567890;Luis;45;3005678901;60
65432109;Lucía;31;3006789012;200
45678901;Pedro;37;3007890123;140
54321098;Sofía;25;3008901234;110
67890123;Miguel;40;3009012345;190
21098765;Laura;27;3000123456;80
19283746;Diego;23;3012345678;45
56473829;Laura;35;3023456789;75
37482910;Andrés;41;3034567890;120
83746529;Natalia;28;3045678901;180
47382956;Ricardo;33;3056789012;90
91827364;Camila;22;3067890123;130
64738291;Fernando;44;3078901234;200
28374659;Daniela;29;3089012345;110
19283746;Martín;39;3090123456;150
37482956;Isabela;27;3101234567;170
